,condition,sample,region_type,roi,t_step,t_sec,t_min,mean_intensity
14,Fat2_8min,2,bleached,2,14,120,2.0,1.443
15,Fat2_8min,2,bleached,2,15,130,2.1666666666666665,1.301
16,Fat2_8min,2,bleached,2,16,140,2.3333333333333335,1.222
17,Fat2_8min,2,bleached,2,17,150,2.5,1.25
18,Fat2_8min,2,bleached,2,18,160,2.6666666666666665,1.239
19,Fat2_8min,2,bleached,2,19,170,2.8333333333333335,1.329
20,Fat2_8min,2,bleached,2,20,180,3.0,1.337
21,Fat2_8min,2,bleached,2,21,190,3.1666666666666665,1.276
22,Fat2_8min,2,bleached,2,22,200,3.3333333333333335,1.1740000000000002
23,Fat2_8min,2,bleached,2,23,210,3.5,1.297
24,Fat2_8min,2,bleached,2,24,220,3.6666666666666665,1.226
25,Fat2_8min,2,bleached,2,25,230,3.8333333333333335,1.121
26,Fat2_8min,2,bleached,2,26,240,4.0,1.2329999999999999
27,Fat2_8min,2,bleached,2,27,250,4.166666666666667,1.391
28,Fat2_8min,2,bleached,2,28,260,4.333333333333333,1.348
29,Fat2_8min,2,bleached,2,29,270,4.5,1.271
30,Fat2_8min,2,bleached,2,30,280,4.666666666666667,1.3130000000000002
31,Fat2_8min,2,bleached,2,31,290,4.833333333333333,1.3559999999999999
32,Fat2_8min,2,bleached,2,32,300,5.0,1.396
33,Fat2_8min,2,bleached,2,33,310,5.166666666666667,1.2329999999999999
34,Fat2_8min,2,bleached,2,34,320,5.333333333333333,1.405
35,Fat2_8min,2,bleached,2,35,330,5.5,1.459
36,Fat2_8min,2,bleached,2,36,340,5.666666666666667,1.426
37,Fat2_8min,2,bleached,2,37,350,5.833333333333333,1.3
38,Fat2_8min,2,bleached,2,38,360,6.0,1.354
39,Fat2_8min,2,bleached,2,39,370,6.166666666666667,1.33
40,Fat2_8min,2,bleached,2,40,380,6.333333333333333,1.472
41,Fat2_8min,2,bleached,2,41,390,6.5,1.5390000000000001
42,Fat2_8min,2,bleached,2,42,400,6.666666666666667,1.367
43,Fat2_8min,2,bleached,2,43,410,6.833333333333333,1.587
44,Fat2_8min,2,bleached,2,44,420,7.0,1.49
45,Fat2_8min,2,bleached,2,45,430,7.166666666666667,1.493
46,Fat2_8min,2,bleached,2,46,440,7.333333333333333,1.475
47,Fat2_8min,2,bleached,2,47,450,7.5,1.469
48,Fat2_8min,2,bleached,2,48,460,7.666666666666667,1.53
49,Fat2_8min,2,bleached,2,49,470,7.833333333333333,1.4240000000000002
0,Fat2_8min,2,bleached,3,0,-20,-0.3333333333333333,5.515
1,Fat2_8min,2,bleached,3,1,-10,-0.16666666666666666,5.5729999999999995
2,Fat2_8min,2,bleached,3,2,0,0.0,1.09
3,Fat2_8min,2,bleached,3,3,10,0.16666666666666666,1.1059999999999999
4,Fat2_8min,2,bleached,3,4,20,0.3333333333333333,1.1540000000000001
5,Fat2_8min,2,bleached,3,5,30,0.5,1.177
6,Fat2_8min,2,bleached,3,6,40,0.6666666666666666,1.308
7,Fat2_8min,2,bleached,3,7,50,0.8333333333333334,1.21
8,Fat2_8min,2,bleached,3,8,60,1.0,1.3
9,Fat2_8min,2,bleached,3,9,70,1.1666666666666667,1.433
10,Fat2_8min,2,bleached,3,10,80,1.3333333333333333,1.348
11,Fat2_8min,2,bleached,3,11,90,1.5,1.556
12,Fat2_8min,2,bleached,3,12,100,1.6666666666666667,1.4880000000000002
13,Fat2_8min,2,bleached,3,13,110,1.8333333333333333,1.494
14,Fat2_8min,2,bleached,3,14,120,2.0,1.51
15,Fat2_8min,2,bleached,3,15,130,2.1666666666666665,1.496
16,Fat2_8min,2,bleached,3,16,140,2.3333333333333335,1.5959999999999999
17,Fat2_8min,2,bleached,3,17,150,2.5,1.6130000000000002
18,Fat2_8min,2,bleached,3,18,160,2.6666666666666665,1.531
19,Fat2_8min,2,bleached,3,19,170,2.8333333333333335,1.538
20,Fat2_8min,2,bleached,3,20,180,3.0,1.475
21,Fat2_8min,2,bleached,3,21,190,3.1666666666666665,1.571
22,Fat2_8min,2,bleached,3,22,200,3.3333333333333335,1.548
23,Fat2_8min,2,bleached,3,23,210,3.5,1.492
24,Fat2_8min,2,bleached,3,24,220,3.6666666666666665,1.575
25,Fat2_8min,2,bleached,3,25,230,3.8333333333333335,1.556
26,Fat2_8min,2,bleached,3,26,240,4.0,1.5919999999999999
27,Fat2_8min,2,bleached,3,27,250,4.166666666666667,1.608
28,Fat2_8min,2,bleached,3,28,260,4.333333333333333,1.74
29,Fat2_8min,2,bleached,3,29,270,4.5,1.6540000000000001
30,Fat2_8min,2,bleached,3,30,280,4.666666666666667,1.8019999999999998
31,Fat2_8min,2,bleached,3,31,290,4.833333333333333,2.013
32,Fat2_8min,2,bleached,3,32,300,5.0,1.419
33,Fat2_8min,2,bleached,3,33,310,5.166666666666667,1.49
34,Fat2_8min,2,bleached,3,34,320,5.333333333333333,1.683
35,Fat2_8min,2,bleached,3,35,330,5.5,1.585
36,Fat2_8min,2,bleached,3,36,340,5.666666666666667,1.683
37,Fat2_8min,2,bleached,3,37,350,5.833333333333333,1.669
38,Fat2_8min,2,bleached,3,38,360,6.0,1.663
39,Fat2_8min,2,bleached,3,39,370,6.166666666666667,1.5190000000000001
40,Fat2_8min,2,bleached,3,40,380,6.333333333333333,1.4580000000000002
41,Fat2_8min,2,bleached,3,41,390,6.5,1.406
42,Fat2_8min,2,bleached,3,42,400,6.666666666666667,1.719
43,Fat2_8min,2,bleached,3,43,410,6.833333333333333,1.54
44,Fat2_8min,2,bleached,3,44,420,7.0,1.435
45,Fat2_8min,2,bleached,3,45,430,7.166666666666667,1.577
46,Fat2_8min,2,bleached,3,46,440,7.333333333333333,1.5830000000000002
47,Fat2_8min,2,bleached,3,47,450,7.5,1.702
48,Fat2_8min,2,bleached,3,48,460,7.666666666666667,1.706
49,Fat2_8min,2,bleached,3,49,470,7.833333333333333,1.56
0,Fat2_8min,2,bleached,4,0,-20,-0.3333333333333333,4.587
1,Fat2_8min,2,bleached,4,1,-10,-0.16666666666666666,4.387
2,Fat2_8min,2,bleached,4,2,0,0.0,1.23
3,Fat2_8min,2,bleached,4,3,10,0.16666666666666666,1.347
4,Fat2_8min,2,bleached,4,4,20,0.3333333333333333,1.214
5,Fat2_8min,2,bleached,4,5,30,0.5,1.119
6,Fat2_8min,2,bleached,4,6,40,0.6666666666666666,1.4980000000000002
7,Fat2_8min,2,bleached,4,7,50,0.8333333333333334,1.347
8,Fat2_8min,2,bleached,4,8,60,1.0,1.401
9,Fat2_8min,2,bleached,4,9,70,1.1666666666666667,1.391
10,Fat2_8min,2,bleached,4,10,80,1.3333333333333333,1.206
11,Fat2_8min,2,bleached,4,11,90,1.5,1.278
12,Fat2_8min,2,bleached,4,12,100,1.6666666666666667,1.329
13,Fat2_8min,2,bleached,4,13,110,1.8333333333333333,1.379
14,Fat2_8min,2,bleached,4,14,120,2.0,1.5730000000000002
15,Fat2_8min,2,bleached,4,15,130,2.1666666666666665,1.702
16,Fat2_8min,2,bleached,4,16,140,2.3333333333333335,1.6769999999999998
17,Fat2_8min,2,bleached,4,17,150,2.5,1.5519999999999998
18,Fat2_8min,2,bleached,4,18,160,2.6666666666666665,1.567
19,Fat2_8min,2,bleached,4,19,170,2.8333333333333335,1.571
20,Fat2_8min,2,bleached,4,20,180,3.0,1.444
21,Fat2_8min,2,bleached,4,21,190,3.1666666666666665,1.605
22,Fat2_8min,2,bleached,4,22,200,3.3333333333333335,1.393
23,Fat2_8min,2,bleached,4,23,210,3.5,1.4580000000000002
24,Fat2_8min,2,bleached,4,24,220,3.6666666666666665,1.48
25,Fat2_8min,2,bleached,4,25,230,3.8333333333333335,1.442
26,Fat2_8min,2,bleached,4,26,240,4.0,1.774
27,Fat2_8min,2,bleached,4,27,250,4.166666666666667,1.607
28,Fat2_8min,2,bleached,4,28,260,4.333333333333333,1.925
29,Fat2_8min,2,bleached,4,29,270,4.5,2.0140000000000002
30,Fat2_8min,2,bleached,4,30,280,4.666666666666667,1.764
31,Fat2_8min,2,bleached,4,31,290,4.833333333333333,1.786
32,Fat2_8min,2,bleached,4,32,300,5.0,1.984
33,Fat2_8min,2,bleached,4,33,310,5.166666666666667,1.74
34,Fat2_8min,2,bleached,4,34,320,5.333333333333333,1.839
35,Fat2_8min,2,bleached,4,35,330,5.5,1.766
36,Fat2_8min,2,bleached,4,36,340,5.666666666666667,1.726
37,Fat2_8min,2,bleached,4,37,350,5.833333333333333,1.837
38,Fat2_8min,2,bleached,4,38,360,6.0,1.976
39,Fat2_8min,2,bleached,4,39,370,6.166666666666667,2.032
40,Fat2_8min,2,bleached,4,40,380,6.333333333333333,1.817
41,Fat2_8min,2,bleached,4,41,390,6.5,2.006
42,Fat2_8min,2,bleached,4,42,400,6.666666666666667,2.008
43,Fat2_8min,2,bleached,4,43,410,6.833333333333333,1.841
44,Fat2_8min,2,bleached,4,44,420,7.0,1.716
45,Fat2_8min,2,bleached,4,45,430,7.166666666666667,1.75
46,Fat2_8min,2,bleached,4,46,440,7.333333333333333,1.6369999999999998
47,Fat2_8min,2,bleached,4,47,450,7.5,1.8769999999999998
