,position (um),Fat2 intensity,Abi intensity
625,43.0591,9.4853,2.2734
626,43.128,12.3478,2.4918
627,43.1968,8.3311,2.6768
628,43.2657,9.1149,2.3054
629,43.3346,12.6666,2.2349
630,43.4035,14.0757,2.7197
631,43.4724,16.8065,2.4139
632,43.5413,20.0008,2.8164
633,43.6102,17.8149,3.2423
634,43.6791,13.4239,3.1519
635,43.748,12.2085,2.9019
636,43.8169,11.2718,2.9415
637,43.8858,11.6107,3.7164
638,43.9547,10.6864,2.7472
639,44.0236,8.7029,2.1726
640,44.0925,7.6197,1.7553
641,44.1614,9.6401,1.9183
642,44.2303,11.9084,1.5957
643,44.2992,15.3506,2.685
644,44.3681,20.2579,3.0809
645,44.437,21.891,2.3423
646,44.5058,20.7304,2.0542
647,44.5747,13.3456,1.7095
648,44.6436,10.6235,1.5755
649,44.7125,7.8734,1.746
650,44.7814,8.3301,1.1696
651,44.8503,9.6877,1.3023
652,44.9192,11.2941,2.0412
653,44.9881,15.708,2.3968
654,45.057,12.347,2.072
655,45.1259,10.7988,1.2756
656,45.1948,10.9578,1.3173
657,45.2637,10.7153,1.7374
658,45.3326,12.3424,1.9033
659,45.4015,12.3206,2.4387
660,45.4704,14.2355,2.1897
661,45.5393,14.3484,1.9643
662,45.6082,11.3616,2.1576
663,45.6771,11.0222,2.4108
664,45.7459,12.9885,2.0759
665,45.8148,12.6967,3.1258
666,45.8837,15.2649,3.9595
667,45.9526,22.543,4.0237
668,46.0215,29.2304,5.1085
669,46.0904,28.0872,5.2937
670,46.1593,24.9397,3.4481
671,46.2282,18.1301,2.5395
672,46.2971,11.6494,2.0541
673,46.366,6.4226,1.3704
674,46.4349,8.2774,1.4725
675,46.5038,6.3013,2.12
676,46.5727,5.3309,1.8485
677,46.6416,4.642,2.2859
678,46.7105,3.5818,2.0692
679,46.7794,7.3861,2.187
680,46.8483,9.5839,2.3052
681,46.9172,10.0417,2.9545
682,46.986,15.9573,2.9422
683,47.0549,23.0816,3.6723
684,47.1238,39.3407,5.062
685,47.1927,53.1051,6.606
686,47.2616,58.2812,7.106
687,47.3305,54.1422,7.3096
688,47.3994,43.0996,7.547
689,47.4683,29.2099,6.0814
690,47.5372,20.6718,4.6368
691,47.6061,13.2235,3.1623
692,47.675,11.5287,3.219
693,47.7439,11.6882,3.3801
694,47.8128,12.3719,2.7814
695,47.8817,11.7523,2.9281
696,47.9506,9.5872,3.1809
697,48.0195,7.5016,2.7217
698,48.0884,6.0725,2.324
699,48.1573,4.6293,2.3483
700,48.2261,4.5695,1.5844
