,position (um),Ecad intensity,Abi intensity
572,39.4076,11.305,0.92402
573,39.4765,11.0574,1.19529
574,39.5454,9.5715,0.88213
575,39.6143,10.9411,1.17582
576,39.6832,11.8759,1.27822
577,39.7521,12.8582,1.05171
578,39.821,12.6945,1.06837
579,39.8899,10.3902,0.7505
580,39.9588,11.3257,1.12862
581,40.0277,10.1156,1.64211
582,40.0966,9.4657,1.7755
583,40.1655,13.185,1.81485
584,40.2344,14.8227,1.6108
585,40.3033,14.739,1.6502
586,40.3722,11.6732,1.28513
587,40.4411,12.5181,1.5632
588,40.51,11.3432,1.76138
589,40.5789,10.0123,1.47634
590,40.6478,8.9059,1.54483
591,40.7166,11.7387,1.92654
592,40.7855,14.0105,1.35376
593,40.8544,16.6216,1.63696
594,40.9233,18.4159,1.55213
595,40.9922,18.5053,2.01117
596,41.0611,21.2193,2.50103
597,41.13,21.5084,3.26322
598,41.1989,22.3616,3.84771
599,41.2678,21.6626,3.86845
600,41.3367,19.778,4.09554
601,41.4056,19.1437,3.43845
602,41.4745,18.6525,2.85234
603,41.5434,20.2524,2.48613
604,41.6123,21.4911,2.9318
605,41.6812,21.4933,2.69533
606,41.7501,16.9557,2.2576
607,41.819,15.8067,2.32865
608,41.8879,14.3384,2.076
609,41.9567,10.3933,1.88259
610,42.0256,10.0219,1.76504
611,42.0945,8.5453,1.8966
612,42.1634,9.32,1.85859
613,42.2323,8.7906,1.03232
614,42.3012,9.5275,0.90757
615,42.3701,7.8878,1.39553
616,42.439,8.2276,1.21788
617,42.5079,7.3585,1.23975
618,42.5768,7.1756,1.03902
619,42.6457,7.1179,0.63509
620,42.7146,5.8322,0.78344
621,42.7835,4.5629,0.80101
622,42.8524,5.0208,1.0437
623,42.9213,6.9376,1.44558
624,42.9902,6.2566,1.05529
625,43.0591,7.5979,1.36348
626,43.128,8.6826,0.91546
627,43.1968,7.1219,0.90113
628,43.2657,8.0551,1.41563
629,43.3346,10.1641,1.16309
630,43.4035,10.3579,0.96267
631,43.4724,12.7191,0.71075
632,43.5413,11.8565,0.88917
633,43.6102,13.2552,1.41858
634,43.6791,6.1497,1.24797
635,43.748,7.3802,0.45474
636,43.8169,6.3167,0.60525
637,43.8858,5.7477,0.56758
638,43.9547,4.0705,0.70899
639,44.0236,4.319,0.44466
640,44.0925,5.344,0.28386
641,44.1614,5.0705,0.57309
642,44.2303,4.7374,0.56816
643,44.2992,3.4763,0.77314
644,44.3681,5.5938,0.58434
645,44.437,8.0929,0.70779
646,44.5058,7.795,0.57794
647,44.5747,7.2434,0.52689
648,44.6436,7.234,0.63932
649,44.7125,5.4726,1.00939
650,44.7814,6.2985,0.85793
651,44.8503,6.042,1.13514
652,44.9192,4.2344,1.18907
653,44.9881,4.4283,0.64469
654,45.057,4.4107,0.67211
655,45.1259,3.6863,1.20385
656,45.1948,4.5256,0.81411
657,45.2637,5.7422,1.1944
658,45.3326,5.785,0.77502
659,45.4015,8.4333,1.25487
660,45.4704,9.6227,2.62094
661,45.5393,8.8489,4.22056
662,45.6082,8.4845,4.46995
663,45.6771,10.1586,3.90369
664,45.7459,10.39,2.48353
665,45.8148,11.5916,2.54478
666,45.8837,11.0777,2.39537
667,45.9526,6.9113,2.38479
668,46.0215,8.4942,2.04079
669,46.0904,11.4721,2.32081
670,46.1593,14.5354,2.15699
671,46.2282,17.6681,2.52887
